Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.086,0.086,0,0,0,0,0
1,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.237,0.32299999999999995,0,0,0,0,0
2,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.134,0.45699999999999996,0,0,0,0,0
3,S-BP,BinaryTreeModel5Incremental,3,0.1065989847715736,1.0,0.8934010152284264,8,false,0.262,0.719,0,0,0,0,0
4,S-BP,BinaryTreeModel5Incremental,4,0.1065989847715736,1.0,0.8934010152284264,8,false,0.124,0.843,0,0,0,0,0
5,S-BP,BinaryTreeModel5Incremental,5,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.23,1.073,0,0,0,0,0
6,S-BP,BinaryTreeModel5Incremental,6,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.248,1.321,0,0,0,0,0
7,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.407,1.728,0,0,0,0,0
8,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.38,2.108,0,0,0,0,0
9,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.5,2.608,0,0,0,0,0
10,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.372,2.98,0,0,0,0,0
11,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.707,3.687,0,0,0,0,0
12,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.552,4.239,0,0,0,0,0
13,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,1.025,5.263999999999999,0,0,0,0,0
14,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,1.053,6.316999999999999,0,0,0,0,0
15,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.6,6.916999999999999,0,0,0,0,0
16,S-BP,BinaryTreeModel5Incremental,16,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.552,7.468999999999999,0,0,0,0,0
17,S-BP,BinaryTreeModel5Incremental,17,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.349,7.818,0,0,0,0,0
18,S-BP,BinaryTreeModel5Incremental,18,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.345,8.163,0,0,0,0,0
19,S-BP,BinaryTreeModel5Incremental,19,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.236,8.399000000000001,0,0,0,0,0
20,S-BP,BinaryTreeModel5Incremental,20,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.232,8.631,0,0,0,0,0
21,S-BP,BinaryTreeModel5Incremental,21,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.176,8.807,0,0,0,0,0
22,S-BP,BinaryTreeModel5Incremental,22,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.263,9.07,0,0,0,0,0
23,S-BP,BinaryTreeModel5Incremental,23,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.155,9.225,0,0,0,0,0
24,S-BP,BinaryTreeModel5Incremental,24,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.154,9.379,0,0,0,0,0
25,S-BP,BinaryTreeModel5Incremental,25,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.111,9.49,0,0,0,0,0
26,S-BP,BinaryTreeModel5Incremental,26,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.119,9.609,0,0,0,0,0
27,S-BP,BinaryTreeModel5Incremental,27,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.075,9.684,0,0,0,0,0
28,S-BP,BinaryTreeModel5Incremental,28,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.061,9.745,0,0,0,0,0
29,S-BP,BinaryTreeModel5Incremental,29,0.38919006107356763,0.38919006107356763,0.0,1,true,0.055,9.799999999999999,0,0,0,0,0
30,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
31,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.024,0.024,0,0,0,0,0
32,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.025,0.049,0,0,0,0,0
33,S-BP,BinaryTreeModel5Incremental,3,0.1065989847715736,1.0,0.8934010152284264,8,false,0.081,0.13,0,0,0,0,0
34,S-BP,BinaryTreeModel5Incremental,4,0.1065989847715736,1.0,0.8934010152284264,8,false,0.051,0.181,0,0,0,0,0
35,S-BP,BinaryTreeModel5Incremental,5,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.114,0.295,0,0,0,0,0
36,S-BP,BinaryTreeModel5Incremental,6,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.114,0.409,0,0,0,0,0
37,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.231,0.64,0,0,0,0,0
38,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.204,0.844,0,0,0,0,0
39,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.394,1.238,0,0,0,0,0
40,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.306,1.544,0,0,0,0,0
41,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.541,2.085,0,0,0,0,0
42,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.538,2.623,0,0,0,0,0
43,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.951,3.5740000000000003,0,0,0,0,0
44,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.933,4.507000000000001,0,0,0,0,0
45,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.532,5.039000000000001,0,0,0,0,0
46,S-BP,BinaryTreeModel5Incremental,16,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.537,5.5760000000000005,0,0,0,0,0
47,S-BP,BinaryTreeModel5Incremental,17,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.342,5.918,0,0,0,0,0
48,S-BP,BinaryTreeModel5Incremental,18,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.349,6.267,0,0,0,0,0
49,S-BP,BinaryTreeModel5Incremental,19,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.24,6.507000000000001,0,0,0,0,0
50,S-BP,BinaryTreeModel5Incremental,20,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.243,6.750000000000001,0,0,0,0,0
51,S-BP,BinaryTreeModel5Incremental,21,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.18,6.930000000000001,0,0,0,0,0
52,S-BP,BinaryTreeModel5Incremental,22,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.256,7.186000000000001,0,0,0,0,0
53,S-BP,BinaryTreeModel5Incremental,23,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.169,7.355,0,0,0,0,0
54,S-BP,BinaryTreeModel5Incremental,24,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.137,7.492000000000001,0,0,0,0,0
55,S-BP,BinaryTreeModel5Incremental,25,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.099,7.591000000000001,0,0,0,0,0
56,S-BP,BinaryTreeModel5Incremental,26,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.106,7.697000000000001,0,0,0,0,0
57,S-BP,BinaryTreeModel5Incremental,27,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.078,7.775000000000001,0,0,0,0,0
58,S-BP,BinaryTreeModel5Incremental,28,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.07,7.8450000000000015,0,0,0,0,0
59,S-BP,BinaryTreeModel5Incremental,29,0.38919006107356763,0.38919006107356763,0.0,1,true,0.051,7.896000000000002,0,0,0,0,0
60,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
61,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.027,0.027,0,0,0,0,0
62,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.023,0.05,0,0,0,0,0
63,S-BP,BinaryTreeModel5Incremental,3,0.1065989847715736,1.0,0.8934010152284264,8,false,0.081,0.131,0,0,0,0,0
64,S-BP,BinaryTreeModel5Incremental,4,0.1065989847715736,1.0,0.8934010152284264,8,false,0.05,0.181,0,0,0,0,0
65,S-BP,BinaryTreeModel5Incremental,5,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.111,0.292,0,0,0,0,0
66,S-BP,BinaryTreeModel5Incremental,6,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.117,0.409,0,0,0,0,0
67,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.245,0.6539999999999999,0,0,0,0,0
68,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.208,0.8619999999999999,0,0,0,0,0
69,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.435,1.297,0,0,0,0,0
70,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.332,1.629,0,0,0,0,0
71,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.526,2.1550000000000002,0,0,0,0,0
72,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.495,2.6500000000000004,0,0,0,0,0
73,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.93,3.5800000000000005,0,0,0,0,0
74,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.927,4.507000000000001,0,0,0,0,0
75,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.572,5.079000000000001,0,0,0,0,0
76,S-BP,BinaryTreeModel5Incremental,16,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.528,5.607000000000001,0,0,0,0,0
77,S-BP,BinaryTreeModel5Incremental,17,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.334,5.941000000000001,0,0,0,0,0
78,S-BP,BinaryTreeModel5Incremental,18,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.344,6.285000000000001,0,0,0,0,0
79,S-BP,BinaryTreeModel5Incremental,19,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.232,6.517000000000001,0,0,0,0,0
80,S-BP,BinaryTreeModel5Incremental,20,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.226,6.743000000000001,0,0,0,0,0
81,S-BP,BinaryTreeModel5Incremental,21,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.184,6.927000000000001,0,0,0,0,0
82,S-BP,BinaryTreeModel5Incremental,22,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.248,7.175000000000002,0,0,0,0,0
83,S-BP,BinaryTreeModel5Incremental,23,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.152,7.327000000000002,0,0,0,0,0
84,S-BP,BinaryTreeModel5Incremental,24,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.153,7.480000000000001,0,0,0,0,0
85,S-BP,BinaryTreeModel5Incremental,25,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.099,7.5790000000000015,0,0,0,0,0
86,S-BP,BinaryTreeModel5Incremental,26,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.104,7.683000000000002,0,0,0,0,0
87,S-BP,BinaryTreeModel5Incremental,27,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.077,7.760000000000002,0,0,0,0,0
88,S-BP,BinaryTreeModel5Incremental,28,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.068,7.828000000000001,0,0,0,0,0
89,S-BP,BinaryTreeModel5Incremental,29,0.38919006107356763,0.38919006107356763,0.0,1,true,0.05,7.878000000000001,0,0,0,0,0
90,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
91,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.025,0.025,0,0,0,0,0
92,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.024,0.049,0,0,0,0,0
93,S-BP,BinaryTreeModel5Incremental,3,0.1065989847715736,1.0,0.8934010152284264,8,false,0.082,0.131,0,0,0,0,0
94,S-BP,BinaryTreeModel5Incremental,4,0.1065989847715736,1.0,0.8934010152284264,8,false,0.051,0.182,0,0,0,0,0
95,S-BP,BinaryTreeModel5Incremental,5,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.117,0.299,0,0,0,0,0
96,S-BP,BinaryTreeModel5Incremental,6,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.122,0.421,0,0,0,0,0
97,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.232,0.653,0,0,0,0,0
98,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.199,0.8520000000000001,0,0,0,0,0
99,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.39,1.242,0,0,0,0,0
100,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.3,1.542,0,0,0,0,0
101,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.526,2.068,0,0,0,0,0
102,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.517,2.585,0,0,0,0,0
103,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,1.013,3.598,0,0,0,0,0
104,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.945,4.543,0,0,0,0,0
105,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.556,5.099,0,0,0,0,0
106,S-BP,BinaryTreeModel5Incremental,16,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.559,5.658,0,0,0,0,0
107,S-BP,BinaryTreeModel5Incremental,17,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.348,6.006,0,0,0,0,0
108,S-BP,BinaryTreeModel5Incremental,18,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.399,6.405,0,0,0,0,0
109,S-BP,BinaryTreeModel5Incremental,19,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.264,6.6690000000000005,0,0,0,0,0
110,S-BP,BinaryTreeModel5Incremental,20,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.263,6.932,0,0,0,0,0
111,S-BP,BinaryTreeModel5Incremental,21,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.18,7.112,0,0,0,0,0
112,S-BP,BinaryTreeModel5Incremental,22,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.252,7.364,0,0,0,0,0
113,S-BP,BinaryTreeModel5Incremental,23,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.159,7.523,0,0,0,0,0
114,S-BP,BinaryTreeModel5Incremental,24,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.142,7.665,0,0,0,0,0
115,S-BP,BinaryTreeModel5Incremental,25,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.104,7.769,0,0,0,0,0
116,S-BP,BinaryTreeModel5Incremental,26,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.108,7.877,0,0,0,0,0
117,S-BP,BinaryTreeModel5Incremental,27,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.084,7.960999999999999,0,0,0,0,0
118,S-BP,BinaryTreeModel5Incremental,28,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.064,8.024999999999999,0,0,0,0,0
119,S-BP,BinaryTreeModel5Incremental,29,0.38919006107356763,0.38919006107356763,0.0,1,true,0.054,8.078999999999999,0,0,0,0,0
120,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
121,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.026,0.026,0,0,0,0,0
122,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.023,0.049,0,0,0,0,0
123,S-BP,BinaryTreeModel5Incremental,3,0.1065989847715736,1.0,0.8934010152284264,8,false,0.083,0.132,0,0,0,0,0
124,S-BP,BinaryTreeModel5Incremental,4,0.1065989847715736,1.0,0.8934010152284264,8,false,0.046,0.178,0,0,0,0,0
125,S-BP,BinaryTreeModel5Incremental,5,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.112,0.29,0,0,0,0,0
126,S-BP,BinaryTreeModel5Incremental,6,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.119,0.409,0,0,0,0,0
127,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.231,0.64,0,0,0,0,0
128,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.206,0.846,0,0,0,0,0
129,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.383,1.229,0,0,0,0,0
130,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.301,1.53,0,0,0,0,0
131,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.535,2.065,0,0,0,0,0
132,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.51,2.575,0,0,0,0,0
133,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.9,3.475,0,0,0,0,0
134,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.923,4.398,0,0,0,0,0
135,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.541,4.939,0,0,0,0,0
136,S-BP,BinaryTreeModel5Incremental,16,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.596,5.535,0,0,0,0,0
137,S-BP,BinaryTreeModel5Incremental,17,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.385,5.92,0,0,0,0,0
138,S-BP,BinaryTreeModel5Incremental,18,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.371,6.291,0,0,0,0,0
139,S-BP,BinaryTreeModel5Incremental,19,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.25,6.541,0,0,0,0,0
140,S-BP,BinaryTreeModel5Incremental,20,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.239,6.78,0,0,0,0,0
141,S-BP,BinaryTreeModel5Incremental,21,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.187,6.9670000000000005,0,0,0,0,0
142,S-BP,BinaryTreeModel5Incremental,22,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.27,7.237,0,0,0,0,0
143,S-BP,BinaryTreeModel5Incremental,23,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.171,7.408,0,0,0,0,0
144,S-BP,BinaryTreeModel5Incremental,24,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.157,7.565,0,0,0,0,0
145,S-BP,BinaryTreeModel5Incremental,25,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.115,7.680000000000001,0,0,0,0,0
146,S-BP,BinaryTreeModel5Incremental,26,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.113,7.793000000000001,0,0,0,0,0
147,S-BP,BinaryTreeModel5Incremental,27,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.075,7.868000000000001,0,0,0,0,0
148,S-BP,BinaryTreeModel5Incremental,28,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.068,7.936000000000001,0,0,0,0,0
149,S-BP,BinaryTreeModel5Incremental,29,0.38919006107356763,0.38919006107356763,0.0,1,true,0.055,7.9910000000000005,0,0,0,0,0
150,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
151,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.026,0.027,0,0,0,0,0
152,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.027,0.054,0,0,0,0,0
